date,time,rank,match,pick,side,line,odds,bookmaker,result,total_games,final_score,profit,stake,jakob_score,confidence,quality_score,edge_percent,market_gap,tournament,event_type
2026-06-03,10:30,6,M. Bassem Sobhy - N. Makhlouf,UNDER 19.0 games,under,19.0,2.13,Pncl,void,,,0.0,0.75,73.23957095,82.1,76.3,10.05,0.665,M15 Monastir 21,Itf Men Singles
2026-06-02,18:00,10,D. Dedura - M. Wiskandt,UNDER 20.5 games,under,20.5,2.08,Unibet,win,17,"6-1, 6-4",0.81,0.75,75.15998828,88.1,81.8,8.92,0.4853,Heilbronn,Challenger Men Singles
2026-06-02,17:00,11,M. Bulgaru - N. Noha Akugue,UNDER 19.5 games,under,19.5,2.17,1xBet,loss,25,"6-7, 5-7",-0.75,0.75,73.93707588,86.9,86.5,10.92,0.5017,Makarska,Challenger Women Singles
2026-06-02,16:00,13,B. Shick - R. Hohmann,UNDER 20.5 games,under,20.5,2.0,Betfair,loss,26,"6-4, 3-6, 6-1",-0.75,0.75,73.84994387,83.6,70.3,7.0,0.6059,Tyler,Challenger Men Singles
2026-06-02,16:00,7,T. Duran - S. Napolitano,UNDER 20.5 games,under,20.5,2.2,Betfair,void,,,0.0,0.75,75.79322054,86.1,86.0,11.55,0.526,Centurion 2 (South Africa) - Qualification,Challenger Men Singles
2026-06-02,13:30,12,M. Mrva - D. Svrcina,UNDER 20.5 games,under,20.5,2.0,Betano,loss,31,"5-7, 6-3, 6-4",-0.75,0.75,73.92890003,91.7,82.0,7.0,0.4577,Prostejov,Challenger Men Singles
2026-06-02,13:00,15,D. Papamichail - C. Paquet,OVER 20.5 games,over,20.5,2.0,bet365,win,21,"5-7, 3-6",0.75,0.75,72.96137064,96,92.1,12.0,0.2667,Foggia (Italy),Challenger Women Singles
2026-06-02,12:00,25,T. Daniel - J. Forejtek,OVER 22.5 games,over,22.5,2.05,Superbet,loss,20,"7-6, 6-1",-0.75,0.75,70.54016993,82.6,85.9,11.34,0.1262,Prostejov,Challenger Men Singles
2026-06-02,12:00,6,A. Martin - V. Kopriva,UNDER 19.5 games,under,19.5,2.0,Betfair,win,16,"0-6, 4-6",0.75,0.75,76.34300622,91.7,81.1,7.0,0.7024,Prostejov,Challenger Men Singles
2026-06-02,11:30,9,A. Eala - P. Hon,UNDER 19.5 games,under,19.5,2.01,Pncl,win,14,"6-0, 6-2",0.757,0.75,75.29153127,92.5,82.4,7.25,0.6325,Birmingham,Challenger Women Singles
2026-06-02,11:30,2,V. Royer - N. Alvarez Varona,UNDER 20.5 games,under,20.5,2.2,Pncl,win,19,"6-4, 6-3",0.9,0.75,80.68365782,87.7,89.3,11.55,0.5362,Perugia,Challenger Men Singles
2026-06-02,11:30,1,N. Bartunkova - H. Dart,OVER 21.5 games,over,21.5,1.93,Pncl,win,30,"3-6, 6-3, 7-5",0.698,0.75,83.4792444,96,90.5,10.19,0.0401,Birmingham,Challenger Women Singles
2026-06-02,10:30,8,S. Baez - S. Gueymard Wayenburg,UNDER 19.5 games,under,19.5,2.12,Pncl,win,19,"6-4, 6-3",0.84,0.75,75.63341077,81.8,80.9,9.83,0.6772,Prostejov,Challenger Men Singles
2026-06-02,10:00,5,M. Echargui - C. H. Tseng,UNDER 20.5 games,under,20.5,2.0,Betfair,loss,26,"4-6, 6-1, 3-6",-0.75,0.75,76.64980744,90.9,80.6,7.0,0.5764,Perugia,Challenger Men Singles
2026-06-02,10:00,4,S. Rawat - E. Winter,UNDER 19.5 games,under,19.5,2.1,10Bet,win,17,"3-6, 2-6",0.825,0.75,77.26565005,88.9,82.2,9.38,0.5864,Centurion 2 (South Africa) - Qualification,Challenger Men Singles
2026-06-01,20:15,3,A. Sabalenka - N. Osaka,UNDER 20.0 games,under,20.0,2.09,Pncl,loss,21,"7-5, 6-3",-0.75,0.75,70.41273262,85.7,75.7,9.15,0.6111,French Open,Wta Singles
2026-06-01,18:00,2,M. Houkes - E. Nava,UNDER 20.5 games,under,20.5,2.12,Pncl,loss,23,"4-6, 6-7",-0.75,0.75,74.64252515,88.9,84.2,9.83,0.5497,Heilbronn,Challenger Men Singles
